speciesID,scientificNameID,class,order,family,genus,scientificName,currentScientificNameCode,currentScientificName,taxonRank,scientificNameAuthorship,primaryGrowthForm,secondaryGrowthForms
2427,2427,Flora,Flora,Euphorbiaceae,Claoxylon,Claoxylon australe,2698,Claoxylon australe,Species,Baill.,Shrub,Tree
2428,2428,Flora,Flora,Apiaceae,Trachymene,Trachymene humilis,6999,Trachymene humilis subsp. humilis,Subspecies,(Hook.f.) Benth.,NA,NA
2429,2429,Flora,Flora,Zamiaceae,Lepidozamia,Lepidozamia peroffskyana,6326,Lepidozamia peroffskyana,Species,Regel,Cycad,Palm & palmlike; Shrub
2430,2430,Flora,Flora,Chenopodiaceae,Einadia,Einadia nutans subsp. eremaea,6829,Einadia nutans subsp. eremaea,Subspecies,Paul G.Wilson,Forb,NA
2431,2431,Flora,Flora,Anthericaceae,Corynotheca,Corynotheca licrota,6830,Corynotheca licrota,Species,R.J.F.Hend.,Forb,Shrub
2432,2432,Flora,Flora,Fabaceae (Faboideae),Almaleea,Almaleea capitata,8367,Almaleea capitata,Species,(J.H.Willis) Crisp & P.H.Weston,Shrub,NA
2433,2433,Flora,Flora,Myrtaceae,Eucalyptus,Eucalyptus leptophylla,8498,Eucalyptus leptophylla,Species,F.Muell.,Mallee tree,NA
2434,2434,Flora,Flora,Polygonaceae,Acetosa,Rumex sagittatus,5263,Acetosa sagittata,Species,(Thunb.) L.A.S.Johnson & B.G.Briggs,NA,NA
2435,2435,Flora,Flora,Amaranthaceae,Deeringia,Deeringia arborescens,1065,Deeringia arborescens,Species,(R.Br.) Druce,Vine,Shrub
2436,2436,Flora,Flora,Asteraceae,Podolepis,Podolepis muelleri,1635,Podolepis muelleri,Species,(Sond.) G.L.Davis,Forb,NA
2437,2437,Flora,Flora,Orchidaceae,Calochilus,Calochilus grandiflorus,4392,Calochilus grandiflorus,Species,(Benth.) Domin,Forb,NA
2438,2438,Flora,Flora,Orchidaceae,Chiloglottis,Chiloglottis reflexa,4402,Chiloglottis reflexa,Species,(Labill.) Druce,Forb,NA
2439,2439,Flora,Flora,Orchidaceae,Rhizanthella,Cryptanthemis slateri,7000,Rhizanthella slateri,Species,(Rupp) M.A. Clem. and P.J. Cribb,NA,NA
2440,2440,Flora,Flora,Malvaceae,Argyrodendron,Heritiera trifoliolata,8401,Argyrodendron trifoliolatum,Species,F.Muell.,Tree,NA
2441,2441,Flora,Flora,Berberidaceae,Berberis,Berberis aristata,1734,Berberis aristata,Species,DC.,NA,NA
2442,2442,Flora,Flora,Moraceae,Ficus,Ficus watkinsiana,3927,Ficus watkinsiana,Species,F.M.Bailey,Tree,NA
2443,2443,Flora,Flora,Myrtaceae,Darwinia,Darwinia fascicularis,4027,Darwinia fascicularis,Species,Rudge,Shrub,NA
2444,2444,Flora,Flora,Onagraceae,Oenothera,Oenothera triloba,4349,Oenothera triloba,Species,Nutt.,NA,NA
2445,2445,Flora,Flora,Asteraceae,Brachyscome,Brachyscome muelleroides,6558,Brachyscome muelleroides,Species,G. L. R. Davis,Forb,NA
2446,2446,Flora,Flora,Urticaceae,Australina,Australina pusilla subsp. muelleri,6223,Australina pusilla,Species,Gaudich.,NA,NA
2447,2447,Flora,Flora,Asteraceae,Hyalosperma,Hyalosperma semisterile,8515,Hyalosperma semisterile,Species,(F.Muell.) Paul G.Wilson,Forb,NA
2448,2448,Flora,Flora,Orchidaceae,Acianthella,Acianthus amplexicaulis,13308,Acianthella amplexicaulis,Species,(F.M.Bailey) D.L.Jones & M.A.Clem.,NA,NA
2449,2449,Flora,Flora,Polygalaceae,Comesperma,Comesperma ericinum f. C,5253,Comesperma ericinum,Species,DC.,NA,NA
2450,2450,Flora,Flora,Orchidaceae,Genoplesium,Prasophyllum densum,15154,Genoplesium densum ined.,Species,G P Phillips (NSW1098821),NA,NA
2451,2451,Flora,Flora,Orchidaceae,Genoplesium,Prasophyllum hopsonii,9199,Genoplesium nudum,Species,(Hook.f.) D.L.Jones & M.A.Clem.,NA,NA
2452,2452,Flora,Flora,Dilleniaceae,Hibbertia,Hibbertia obtusifolia,2542,Hibbertia obtusifolia,Species,(DC.) A.Gray,Shrub,NA
2453,2453,Flora,Flora,Thymelaeaceae,Pimelea,Pimelea bracteata,6174,Pimelea bracteata,Species,Threlfall,Shrub,NA
2454,2454,Flora,Flora,Poaceae,Imperata,Imperata cylindrica,6803,Imperata cylindrica,Species,P.Beauv.,Tussock Grass,NA
2455,2455,Flora,Flora,Asteraceae,Ozothamnus,Ozothamnus diosmifolius,8557,Ozothamnus diosmifolius,Species,(Vent.) DC.,Shrub,NA
2456,2456,Flora,Flora,Fabaceae (Faboideae),Bossiaea,Bossiaea kiamensis,2781,Bossiaea kiamensis,Species,Benth.,Shrub,NA
2457,2457,Flora,Flora,Orchidaceae,Pterostylis,Pterostylis revoluta,4572,Pterostylis revoluta,Species,R.Br.,Forb,NA
2458,2458,Flora,Flora,Sapindaceae,Mischocarpus,Mischocarpus pyriformis,5926,Mischocarpus pyriformis,Species,(F.Muell.) Radlk.,Tree,NA
2459,2459,Flora,Flora,Phrymaceae,Thyridia,Mimulus repens,14731,Thyridia repens,Species,(R.Br.) W.R.Barker & Beardsley,NA,NA
2460,2460,Flora,Flora,Araliaceae,Tetrapanax,Tetrapanax papyrifer,1212,Tetrapanax papyrifer,Species,(Hook.f.) K.Koch,NA,NA
2461,2461,Flora,Flora,Droseraceae,Drosera,Drosera auriculata,2556,Drosera auriculata,Species,Backh. ex Planch.,Forb,NA
2462,2462,Flora,Flora,Phyllanthaceae,Poranthera,Poranthera ericifolia,2754,Poranthera ericifolia,Species,Rudge,Forb,Shrub
2463,2463,Flora,Flora,Orchidaceae,Microtis,Microtis unifolia,4473,Microtis unifolia,Species,(G.Forst.) Rchb.f.,Forb,NA
2464,2464,Flora,Flora,Solanaceae,Petunia,Petunia axillaris,6053,Petunia axillaris,Species,"(Lam.) Britton, Sterns & Poggenb.",NA,NA
2465,2465,Flora,Flora,Asteraceae,Brachyscome,Brachyscome angustifolia var. angustifolia,13832,Brachyscome linearifolia,Species,DC.,NA,NA
2466,2466,Flora,Flora,Campanulaceae,Isotoma,Isotoma armstrongii,7913,Isotoma armstrongii,Species,E.Wimm.,Forb,NA
2467,2467,Flora,Flora,Asteraceae,Rutidosis,Rutidosis multiflora,1646,Rutidosis multiflora,Species,(Nees) Rob.,Forb,NA
2468,2468,Flora,Flora,Loranthaceae,Dendrophthoe,Dendrophthoe vitellina,3613,Dendrophthoe vitellina,Species,(F.Muell.) Tiegh.,Epiphyte,NA
2469,2469,Flora,Flora,Malvaceae,Abutilon,Abutilon grandifolium,3628,Abutilon grandifolium,Species,(Willd.) Sweet,NA,NA
2470,2470,Flora,Flora,Proteaceae,Isopogon,Isopogon anemonifolius,5433,Isopogon anemonifolius,Species,(Salisb.) Knight,Shrub,NA
2471,2471,Flora,Flora,Fabaceae (Mimosoideae),Acacia,Acacia barringtonensis,3712,Acacia barringtonensis,Species,Tindale,Shrub,Tree
2472,2472,Flora,Flora,Polygonaceae,Persicaria,Persicaria dichotoma,5279,Persicaria dichotoma,Species,(Blume) Masam.,Forb,Shrub
2473,2473,Flora,Flora,Polygonaceae,Persicaria,Persicaria elatior,5280,Persicaria elatior,Species,(R. Br.) Sojak,Forb,Shrub
2474,2474,Flora,Flora,Fabaceae (Faboideae),Aotus,Aotus subspinescens,6955,Aotus subspinescens,Species,(Benth.) Crisp,Shrub,NA
